9997  9997
1.43902533425  47.8038176726  8.88339341532
1.44183122869  47.9770433624  8.82447930171
1.43653560995  48.029672248  8.78102322256
1.43437396803  48.0528007292  8.75387846992
1.43277108198  48.0665405662  8.73988437863
1.43196963895  48.0711397382  8.72990761688
1.43156891743  48.0774357033  8.724439585
1.4307268947  48.0828755137  8.72245964474
1.43052659418  48.0890638031  8.72199806148
1.4322520568  48.0845384605  8.71925037491
1.43116819592  48.0968320982  8.72191978253
1.43116819592  48.0993761533  8.72352892437
1.4307268947  48.1099340971  8.72668817855
1.43136855667  48.1146833236  8.72956300653
1.43156891743  48.117575949  8.73213905432
1.43156891743  48.1256527034  8.7362578068
1.43176927819  48.1257780767  8.73856319449
1.43176927819  48.1314846891  8.74244541057
1.43196963895  48.1293237086  8.74440990649
1.43196963895  48.1333899938  8.74788903789
1.4321699997  48.1296791043  8.74942180963
1.4321699997  48.1327171133  8.75245469767
1.43237036046  48.1279446847  8.7535475711
1.43172839733  48.132805179  8.75839112805
1.43301270333  48.1274998074  8.75895140816
1.43192869786  48.1336301148  8.76363500648
1.43257072122  48.1300308805  8.76607085217
1.4314872943  48.1360520528  8.7703154187
1.43321312436  48.1252054908  8.77195916086
1.43277108198  48.1206461996  8.77507581593
1.43277108198  48.1258424535  8.77864017473
1.43297144273  48.1228458538  8.78065944457
1.43232929891  48.1273038455  8.78464692151
1.43297144273  48.121881277  8.7864178613
1.43297144273  48.1259750276  8.78975941927
1.43252959943  48.1322071316  8.79255828646
1.43317180349  48.1256858646  8.79405655491
1.43252959943  48.1275009929  8.79730982618
1.43252959943  48.1306698662  8.79966485312
1.43317180349  48.128816629  8.80121969775
1.43337216425  48.1230598651  8.8023129246
1.43337216425  48.1253821924  8.80452504836
1.43337216425  48.1165971045  8.80563635895
1.43337216425  48.1182682168  8.80735617204
1.43293020048  48.122727922  8.80886277007
1.433572525  48.1144307781  8.80913816891
1.43293020048  48.1152207804  8.81122370514
1.43293020048  48.1177538514  8.81251987732
1.43293020048  48.1208484984  8.8141047187
1.433572525  48.1118786873  8.81421399764
1.433572525  48.1124741605  8.81557843269
1.43293020048  48.1136775803  8.81726664096
1.43293020048  48.1158109258  8.81829914433
1.433572525  48.1058512368  8.81807258196
1.433572525  48.1057718879  8.81917921545
1.433572525  48.1071113288  8.82018188963
1.43313050101  48.1102110827  8.82086815918
1.43248849598  48.1113959769  8.82219435855
1.43293020048  48.1117604769  8.82322865255
1.433572525  48.100993429  8.82279370667
1.43313050101  48.1011326449  8.82326521186
1.43313050101  48.1014687286  8.82381643085
1.43313050101  48.1025406981  8.82448568817
1.43313050101  48.1038833024  8.82518229046
1.43377288576  48.0925954094  8.82431105201
1.43313050101  48.090699884  8.8252751264
1.43313050101  48.0908785853  8.82551124047
1.43313050101  48.0919657884  8.82610718096
1.43313050101  48.0933967442  8.82676226259
1.43313050101  48.0948592094  8.82740892606
1.43377288576  48.0833624141  8.82644296997
1.43377288576  48.0819693669  8.82685234725
1.43313050101  48.0815296166  8.82764620626
1.43313050101  48.082335294  8.82786691521
1.43313050101  48.0835922792  8.82840008728
1.43313050101  48.0849529756  8.82894999645
1.43313050101  48.0862275334  8.82946531915
1.43377288576  48.0743067213  8.82833246301
1.43377288576  48.072549953  8.82859812583
1.43313050101  48.0718296503  8.82925485668
1.43313050101  48.0724249679  8.82935132804
1.43313050101  48.0735210566  8.82977002423
1.43313050101  48.0747530714  8.83021535079
1.43313050101  48.0759189657  8.83063572907
1.43377288576  48.0636923525  8.82937638607
1.43377288576  48.0618638233  8.82956317882
1.43313050101  48.0610986132  8.83014871369
1.43313050101  48.0616572956  8.8301845107
1.43313050101  48.0627180549  8.83054780475
1.43313050101  48.0639131016  8.83094185219
1.43313050101  48.0650406747  8.8313146945
1.43313050101  48.0660048992  8.83164147441
1.43313050101  48.0667701828  8.83190931579
1.43377288576  48.0539182141  8.8304545011
1.43377288576  48.0515362567  8.83048521599
1.43313050101  48.0503470887  8.83092454629
1.43313050101  48.0505981433  8.83083004469
1.43313050101  48.051437222  8.83107535562
1.43313050101  48.0524703308  8.83136328471
1.43313050101  48.0534760155  8.83164099299
1.43313050101  48.0543453083  8.83188247827
1.43313050101  48.0550345612  8.83207370499
1.43313050101  48.0555360514  8.83220888852
1.43377288576  48.0422420501  8.83059342386
1.43377288576  48.0396182468  8.83051991197
1.43313050101  48.0382629832  8.83086528159
1.43313050101  48.0384055187  8.83068983028
1.43313050101  48.0391728554  8.83086129375
1.43313050101  48.0401567289  8.83108110105
1.43313050101  48.0411267888  8.83129567882
#mu =  [ 0  4  8 12 16 20] 
#mu_est =  [  0.09886549   0.39770042   0.9041387    0.39196837  -0.44751001
  10.81144123]
#sigma =  [ 1.  1.  1.  1.  1.  1.] 
#sigma_est =  [ 0.21235297  0.15493456  0.12902011  0.52004503  0.60482894  6.45247728]
#alpha =  [ 0.15765074  0.20544344  0.17314824  0.15652173  0.12169798  0.18553787] 
#alpha_est =  [ 0.0046      0.0074      0.0066      0.0142      0.0662      0.90320623]
