0.001  0.201112487321 526.3166561126709
0.01  0.213058711562 519.8293669223785
0.02  0.173574878156 473.2095899581909
0.04  0.176661023045 529.4813520908356
0.08  0.163889681262 498.27002692222595
0.1  0.137905948934 465.438423871994
0.2  0.21084766838 435.42458295822144
