#diff_E diff_E1_nin diff_E2_nin
0 64.8653888055 1.57364617434
1 38.4066645483 1.54356625486
2 31.952706918 1.51850010994
3 27.9062233521 1.49657520959
4 25.0195846868 1.47689056543
5 22.8129159602 1.45891840555
6 21.0501270054 1.44231440318
7 19.5978822661 1.42683776053
8 18.3737630606 1.41231163779
9 17.3234409126 1.3986013355
10 16.4093294032 1.38560129765
11 15.6044227591 1.37322690145
12 14.8887175459 1.36140902572
13 14.247020723 1.3500903208
14 13.6675474326 1.33922256638
15 13.1409910927 1.3287647508
16 12.6598876567 1.31868164333
17 12.2181695043 1.30894271227
18 11.8108452431 1.29952129134
19 11.4337652912 1.29039392764
20 11.0834472313 1.28153986504
21 10.7569436562 1.27294062988
22 10.4517407608 1.2645796952
23 10.1656795447 1.25644220613
24 9.89689387877 1.24851475308
25 9.64376132088 1.24078518312
26 9.40486368187 1.23324244184
27 9.17895513209 1.22587643997
28 8.96493619824 1.21867794003
29 8.76183240405 1.21163845961
30 8.56877660413 1.20475018825
31 8.38499427789 1.19800591576
32 8.20979121418 1.19139897004
33 8.04254313997 1.18492316294
34 7.88268693997 1.17857274288
35 7.72971318672 1.17234235334
36 7.58315975557 1.16622699618
37 7.44260634332 1.16022199927
38 7.307669743 1.15432298777
39 7.17799975446 1.14852585858
40 7.05327563218 1.1428267575
41 6.93320298872 1.13722205881
42 6.81751108638 1.13170834699
43 6.70595046091 1.12628240019
44 6.59829083006 1.1209411754
45 6.49431924768 1.11568179502
46 6.39383846986 1.11050153464
47 6.2966655051 1.10539781207
48 6.20263032435 1.10036817724
49 6.1115747107 1.09541030305
50 6.023351231 1.09052197702
51 5.93782231464 1.08570109363
52 5.85485942645 1.08094564734
53 5.77434232253 1.07625372613
54 5.69615837953 1.07162350559
55 5.62020198879 1.0670532435
56 5.54637400819 1.06254127479
57 5.47458126533 1.05808600693
58 5.40473610634 1.05368591562
59 5.33675598564 1.04933954084
60 5.27056309217 1.04504548319
61 5.20608400843 1.04080240043
62 5.14324939895 1.03660900438
63 5.08199372525 1.03246405791
64 5.02225498463 1.02836637221
65 4.96397447055 1.02431480426
66 4.90709655246 1.0203082544
67 4.8515684733 1.01634566411
68 4.79734016295 1.01242601394
69 4.74436406627 1.00854832152
70 4.6925949843 1.00471163978
71 4.6419899275 1.00091505515
72 4.59250798 0.997157686055
73 4.54411017381 0.993438681299
74 4.49675937225 0.989757218702
75 4.45042016169 0.98611250374
76 4.40505875104 0.982503768282
77 4.36064287824 0.978930269404
78 4.31714172324 0.975391288263
79 4.27452582692 0.971886129039
80 4.23276701551 0.968414117936
81 4.19183833002 0.964974602233
82 4.15171396034 0.961566949393
83 4.11236918365 0.95819054621
84 4.0737803068 0.954844798015
85 4.0359246123 0.951529127909
86 3.99878030782 0.948242976045
87 3.96232647872 0.944985798944
88 3.92654304361 0.941757068844
89 3.89141071253 0.938556273086
90 3.85691094772 0.935382913524
91 3.82302592669 0.932236505969
92 3.78973850747 0.929116579658
93 3.75703219592 0.926022676749
94 3.72489111488 0.922954351838
95 3.69329997517 0.919911171504
96 3.66224404811 0.916892713868
97 3.63170913969 0.913898568174
98 3.60168156615 0.910928334399
99 3.57214813082 0.907989940507
100 3.54309610237 0.905086019667
101 3.51451319409 0.902204699189
102 3.48638754435 0.899345620424
103 3.45870769811 0.896508433674
104 3.43146258933 0.893692797885
105 3.40464152437 0.890898380358
106 3.37823416617 0.888124856472
107 3.35223051932 0.885371909415
108 3.32662091581 0.882639229932
109 3.30139600152 0.879934668214
110 3.27654672342 0.877251237413
111 3.25206431731 0.874587112344
112 3.22794029628 0.871942012346
113 3.20416643961 0.869315663177
114 3.18073478226 0.866707796813
115 3.15763760488 0.86411815126
116 3.13486742424 0.861546470366
117 3.11241698414 0.858992503648
118 3.09027924676 0.856456006118
119 3.06844738432 0.853936738123
120 3.04691477125 0.851434465185
121 3.02567497661 0.848948957851
122 3.0047217569 0.846479991545
123 2.98404904916 0.84402734643
124 2.96365096443 0.84159080727
125 2.94352178143 0.8391701633
126 2.92365594054 0.836765208101
127 2.9040480381 0.834375739476
128 2.88469282081 0.832001559336
129 2.86558518054 0.829642473584
130 2.84672014925 0.827298292008
131 2.82809289411 0.824968828174
132 2.80969871294 0.822653899323
133 2.7915330297 0.820353326278
134 2.77359139025 0.818066933342
135 2.75586945826 0.81579454821
136 2.73836301128 0.813536001881
137 2.72106793697 0.811291128567
138 2.7039802295 0.809059765617
139 2.68709598604 0.806841753432
140 2.67041140348 0.804636935387
141 2.65392277514 0.802445157759
142 2.63762648778 0.80026626965
143 2.62151901855 0.798100122919
144 2.60559693221 0.795946572116
145 2.58985687834 0.793805474409
146 2.57429558872 0.791676689525
147 2.55890987478 0.789560079688
148 2.54369662517 0.787455509556
149 2.52865280338 0.785362846164
150 2.51377544551 0.783281958867
151 2.49906165804 0.781212719286
152 2.48450861574 0.779155001253
153 2.47011355967 0.77710868076
154 2.45587379517 0.775073635911
155 2.44178669 0.773049746867
156 2.42784967253 0.771036895807
157 2.41406022996 0.769034966876
158 2.40041590663 0.767043846141
159 2.38691430238 0.765063421552
160 2.37355307099 0.763093582892
161 2.36032991863 0.761134221746
162 2.3472426024 0.759185231452
163 2.33428892889 0.757246507068
164 2.32146675282 0.755317945333
165 2.30877397572 0.753399444628
166 2.29620854459 0.751490904944
167 2.28376845074 0.749592227846
168 2.27145172851 0.74770331644
169 2.25925645416 0.745824075336
170 2.2471807447 0.743954410624
171 2.23522275686 0.742094229836
172 2.22338068597 0.740243441919
173 2.21165276499 0.738401957204
