#diff_E diff_E1_nin diff_E2_nin
0 2.95295959224
1 2.64925834458
2 2.43211002497
3 2.26336958449
4 2.12644374361
5 2.01282046494
6 1.91956256994
7 1.84148666233
8 1.77463424396
9 1.7198001998
10 1.67177011211
11 1.63118118023
12 1.59794087082
13 1.56873625858
14 1.54288953114
15 1.52064914102
16 1.50108410335
17 1.48371358414
18 1.46828096814
19 1.45456262892
20 1.44236284477
21 1.43150972227
22 1.42185187558
23 1.41325568315
24 1.40560299305
25 1.3987891831
26 1.39287417411
27 1.3876991447
28 1.38309071705
29 1.37898652427
30 1.37533113812
31 1.37207527808
32 1.36917511577
33 1.36659166178
34 1.36429022422
35 1.36223992962
36 1.36041329877
37 1.35878587056
38 1.35733586826
39 1.35604390327
40 1.3548927119
41 1.35386692144
42 1.35295284225
43 1.35213828284
44 1.35141238536
45 1.35076547929
46 1.35018895125
47 1.34967512915
48 1.349217179
49 1.34880901322
