#gd-step, abs-grad_likelihood, theta-error
254 0.05675 0.1548625
255 0.06925 0.15417
256 0.08425 0.1533275
257 0.08175 0.15251
258 0.03925 0.1521175
259 0.06675 0.15145
260 0.06425 0.1508075
261 0.06175 0.15019
262 0.07425 0.1494475
263 0.05675 0.14888
264 0.08175 0.1480625
265 0.08175 0.147245
266 0.06175 0.1466275
267 0.07175 0.14591
268 0.05175 0.1453925
269 0.08675 0.144525
270 0.07925 0.1437325
271 0.08675 0.142865
272 0.08925 0.1419725
273 0.09175 0.141055
274 0.07425 0.1403125
275 0.05925 0.13972
276 0.03925 0.1393275
277 0.06425 0.138685
278 0.08675 0.1378175
279 0.06425 0.137175
280 0.06675 0.1365075
281 0.01925 0.136315
282 0.06675 0.1356475
283 0.03425 0.135305
284 0.05925 0.1347125
285 0.04425 0.13427
286 0.03175 0.1339525
287 0.05175 0.133435
288 0.05425 0.1328925
289 0.06675 0.132225
290 0.02675 0.1319575
291 0.06175 0.13134
292 0.08175 0.1305225
293 0.07425 0.12978
294 0.05425 0.1292375
295 0.06425 0.128595
296 0.04925 0.1281025
297 0.04675 0.127635
298 0.05425 0.1270925
299 0.05175 0.126575
300 0.05675 0.1260075
301 0.02925 0.125715
302 0.03925 0.1253225
303 0.06175 0.124705
304 0.04925 0.1242125
305 0.07175 0.123495
306 0.05425 0.1229525
307 0.06675 0.122285
308 0.06675 0.1216175
309 0.02175 0.1214
310 0.04175 0.1209825
311 0.03675 0.120615
312 0.05675 0.1200475
313 0.06175 0.11943
314 0.02425 0.1191875
315 0.02925 0.118895
316 0.06175 0.1182775
317 0.06425 0.117635
318 0.03925 0.1172425
319 0.04925 0.11675
320 0.00325 0.1167825
321 0.05175 0.116265
322 0.04425 0.1158225
323 0.05175 0.115305
324 0.04675 0.1148375
325 0.03925 0.114445
326 0.05425 0.1139025
327 0.03425 0.11356
328 0.03925 0.1131675
329 0.05675 0.1126
330 0.04675 0.1121325
331 0.05925 0.11154
332 0.05175 0.1110225
333 0.02925 0.11073
334 0.05175 0.1102125
335 0.04175 0.109795
336 0.00325 0.1098275
337 0.02425 0.109585
338 0.02925 0.1092925
339 0.06175 0.108675
340 0.05175 0.1081575
341 0.06425 0.107515
342 0.07425 0.1067725
343 0.03175 0.106455
344 0.02925 0.1061625
345 0.04925 0.10567
346 0.03675 0.1053025
347 0.04675 0.104835
348 0.08425 0.1039925
349 0.04175 0.103575
350 0.08175 0.1027575
351 0.06175 0.10214
352 0.04675 0.1016725
353 0.05175 0.101155
354 0.03675 0.1007875
355 0.05925 0.100195
356 0.04675 0.0997275
357 0.07675 0.09896
358 0.05925 0.0983675
359 0.00175 0.09835
360 0.03675 0.0979825
361 0.01425 0.09784
362 0.04175 0.0974225
363 0.04925 0.09693
364 0.05425 0.0963875
365 0.04675 0.09592
366 0.03675 0.0955525
367 0.03425 0.09521
368 0.03675 0.0948425
369 0.07175 0.094125
370 0.02925 0.0938325
371 0.02175 0.093615
372 0.03425 0.0932725
373 0.04925 0.09278
374 0.02675 0.0925125
375 0.06675 0.091845
376 0.02675 0.0915775
377 0.03925 0.091185
378 0.02175 0.0909675
379 0.06925 0.090275
380 0.04175 0.0898575
381 0.02425 0.089615
382 0.04175 0.0891975
383 0.04175 0.08878
384 0.05925 0.0881875
385 0.00325 0.08822
386 0.04425 0.0877775
387 0.04175 0.08736
388 0.03175 0.0870425
389 0.05175 0.086525
390 0.02175 0.0863075
391 0.02175 0.08609
392 0.01175 0.0859725
393 0.02425 0.08573
394 0.03175 0.0854125
395 0.04425 0.08497
396 0.03675 0.0846025
397 0.06675 0.083935
398 0.03675 0.0835675
399 0.00925 0.083475
400 0.03175 0.0831575
401 0.04425 0.082715
402 0.01675 0.0825475
403 0.09425 0.081605
404 0.04675 0.0811375
405 0.03925 0.080745
406 0.03675 0.0803775
407 0.00175 0.08036
408 0.03675 0.0799925
409 0.03925 0.0796
410 0.02925 0.0793075
411 0.05925 0.078715
412 0.03675 0.0783475
413 0.02425 0.078105
414 0.04925 0.0776125
415 0.03675 0.077245
416 0.00425 0.0772025
417 0.00325 0.077235
418 0.01675 0.0770675
419 0.02175 0.07685
420 0.03675 0.0764825
421 0.03925 0.07609
422 0.05425 0.0755475
423 0.03675 0.07518
424 0.04175 0.0747625
425 0.08425 0.07392
426 0.03425 0.0735775
427 0.02175 0.07336
428 0.05425 0.0728175
429 0.04175 0.0724
430 0.02175 0.0721825
431 0.02925 0.07189
432 0.02175 0.0716725
433 0.02175 0.071455
434 0.06925 0.0707625
435 0.01425 0.07062
436 0.02925 0.0703275
437 0.01575 0.070485
438 0.03925 0.0700925
439 0.01675 0.069925
440 0.04175 0.0695075
441 0.05675 0.06894
442 0.00575 0.0689975
443 0.01425 0.068855
444 0.03675 0.0684875
445 0.00425 0.068445
446 0.04175 0.0680275
447 0.03675 0.06766
448 0.04675 0.0671925
449 0.04925 0.0667
450 0.04925 0.0662075
451 0.02675 0.06594
452 0.03425 0.0655975
453 0.02675 0.06533
454 0.02925 0.0650375
455 0.02925 0.064745
456 0.04175 0.0643275
457 0.01175 0.06421
458 0.01675 0.0640425
459 0.02675 0.063775
460 0.06675 0.0631075
461 0.02075 0.063315
462 0.00575 0.0633725
463 0.01925 0.06318
464 0.00425 0.0631375
465 0.01925 0.062945
466 0.03675 0.0625775
467 0.00175 0.06256
468 0.01925 0.0623675
469 0.00925 0.062275
470 0.01675 0.0621075
471 0.04425 0.061665
472 0.00425 0.0616225
473 0.05675 0.061055
474 0.02925 0.0607625
475 0.02925 0.06047
476 0.07425 0.0597275
477 0.04175 0.05931
478 0.00425 0.0592675
479 0.06675 0.0586
480 0.01175 0.0584825
481 0.00425 0.05844
482 0.03425 0.0580975
483 0.04925 0.057605
484 0.04675 0.0571375
485 0.02925 0.056845
486 0.00675 0.0567775
487 0.00325 0.05681
488 0.00675 0.0567425
489 0.01575 0.0569
490 0.03175 0.0565825
491 0.03925 0.05619
492 0.00175 0.0561725
493 0.02425 0.05593
494 0.04425 0.0554875
495 0.03675 0.05512
496 0.03925 0.0547275
497 0.03925 0.054335
498 0.01675 0.0541675
499 0.00675 0.0541
500 0.00675 0.0540325
501 0.00675 0.053965
502 0.00425 0.0539225
503 0.04425 0.05348
504 0.03675 0.0531125
505 0.00675 0.053045
506 0.00175 0.0530275
507 0.03925 0.052635
508 0.01425 0.0524925
509 0.01675 0.052325
510 0.00675 0.0522575
511 0.02175 0.05204
512 0.00075 0.0520475
513 0.01925 0.051855
514 0.05175 0.0513375
515 0.02425 0.051095
516 0.05175 0.0505775
517 0.03925 0.050185
518 0.04925 0.0496925
519 0.04675 0.049225
520 0.04675 0.0487575
521 0.01675 0.04859
522 0.04925 0.0480975
523 0.02675 0.04783
524 0.03675 0.0474625
525 0.01075 0.04757
526 0.01675 0.0474025
527 0.03425 0.04706
528 0.02425 0.0468175
529 0.03675 0.04645
530 0.00175 0.0464325
531 0.01425 0.04629
532 0.02175 0.0460725
533 0.00325 0.046105
534 0.01175 0.0459875
535 0.00425 0.045945
536 0.02925 0.0456525
537 0.05425 0.04511
538 0.00675 0.0450425
539 0.03925 0.04465
540 0.05675 0.0440825
541 0.02675 0.043815
542 0.01675 0.0436475
543 0.03675 0.04328
544 0.02425 0.0430375
545 0.02175 0.04282
546 0.00325 0.0428525
547 0.01425 0.04271
548 0.03175 0.0423925
549 0.02175 0.042175
550 0.02675 0.0419075
551 0.01675 0.04174
552 0.05175 0.0412225
553 0.01925 0.04103
554 0.03675 0.0406625
555 0.03425 0.04032
556 0.05675 0.0397525
557 0.00825 0.039835
558 0.02175 0.0396175
559 0.02925 0.039325
560 0.04425 0.0388825
561 0.01675 0.038715
562 0.01925 0.0385225
563 0.00425 0.03848
564 0.03925 0.0380875
565 0.00175 0.03807
566 0.03425 0.0377275
567 0.00925 0.037635
568 0.04175 0.0372175
569 0.01675 0.03705
570 0.01175 0.0369325
571 0.02925 0.03664
572 0.04175 0.0362225
573 0.03175 0.035905
574 0.04425 0.0354625
575 0.02675 0.035195
576 0.01175 0.0350775
577 0.02925 0.034785
578 0.01425 0.0346425
579 0.01925 0.03445
580 0.02675 0.0341825
581 0.02675 0.033915
582 0.03675 0.0335475
583 0.02925 0.033255
584 0.05175 0.0327375
585 0.01175 0.03262
586 0.04175 0.0322025
587 0.02175 0.031985
588 0.03425 0.0316425
589 0.00075 0.03165
590 0.00925 0.0315575
591 0.01675 0.03139
592 0.00575 0.0314475
593 0.02175 0.03123
594 0.01425 0.0310875
595 0.01425 0.030945
596 0.01425 0.0308025
597 0.05425 0.03026
598 0.00925 0.0301675
599 0.02075 0.030375
600 0.03175 0.0300575
601 0.02675 0.02979
602 0.00075 0.0297975
603 0.02175 0.02958
604 0.00175 0.0295625
605 0.00575 0.02962
606 0.02675 0.0293525
607 0.03175 0.029035
608 0.00925 0.0289425
609 0.00175 0.028925
610 0.00925 0.0288325
611 0.00925 0.02874
612 0.01175 0.0286225
613 0.01675 0.028455
614 0.01325 0.0285875
615 0.03175 0.02827
616 0.02175 0.0280525
617 0.02075 0.02826
618 0.03175 0.0279425
619 0.00675 0.027875
620 0.01425 0.0277325
621 0.00925 0.02764
622 0.01675 0.0274725
623 0.04675 0.027005
624 0.00425 0.0269625
625 0.06175 0.026345
626 0.00425 0.0263025
627 0.02925 0.02601
628 0.00575 0.0260675
629 0.01175 0.02595
630 0.00425 0.0259075
631 0.01425 0.025765
632 0.01675 0.0255975
633 0.00425 0.025555
634 0.03675 0.0251875
635 0.00425 0.025145
636 0.02175 0.0249275
637 0.02325 0.02516
638 0.03425 0.0248175
639 0.03675 0.02445
640 0.00325 0.0244825
641 0.03675 0.024115
642 0.03175 0.0237975
643 0.03925 0.023405
644 0.01425 0.0232625
645 0.04425 0.02282
646 0.00425 0.0227775
647 0.03925 0.022385
648 0.00675 0.0223175
649 0.00075 0.022325
650 0.02925 0.0220325
651 0.01325 0.022165
652 0.02175 0.0219475
653 0.00425 0.021905
654 0.02175 0.0216875
655 0.01675 0.02152
656 0.00175 0.0215025
657 0.02425 0.02126
658 0.02425 0.0210175
659 0.00425 0.020975
660 0.00325 0.0210075
661 0.01925 0.020815
662 0.00675 0.0207475
663 0.03175 0.02043
664 0.03425 0.0200875
665 0.00925 0.019995
666 0.02925 0.0197025
667 0.04675 0.019235
668 0.00675 0.0191675
669 0.00675 0.0191
670 0.01175 0.0189825
671 0.02175 0.018765
672 0.03425 0.0184225
673 0.00925 0.01833
674 0.00075 0.0183375
675 0.02825 0.01862
676 0.02925 0.0183275
677 0.01675 0.01816
678 0.02425 0.0179175
679 0.00175 0.0179
680 0.01325 0.0180325
681 0.01425 0.01789
682 0.01925 0.0176975
683 0.01425 0.017555
684 0.00675 0.0174875
685 0.01675 0.01732
686 0.03425 0.0169775
687 0.01075 0.017085
688 0.00425 0.0170425
689 0.01075 0.01715
690 0.00825 0.0172325
691 0.01425 0.01709
692 0.00425 0.0170475
693 0.02175 0.01683
694 0.03925 0.0164375
695 0.04925 0.015945
696 0.01925 0.0157525
697 0.02425 0.01551
698 0.00425 0.0154675
699 0.00075 0.015475
700 0.03425 0.0151325
701 0.00825 0.015215
702 0.02675 0.0149475
703 0.01425 0.014805
704 0.01325 0.0149375
705 0.03175 0.01462
706 0.00675 0.0145525
707 0.01075 0.01466
708 0.00825 0.0147425
709 0.00825 0.014825
710 0.03925 0.0144325
711 0.01925 0.01424
712 0.02425 0.0139975
713 0.00675 0.01393
714 0.02175 0.0137125
715 0.01175 0.013595
716 0.00325 0.0136275
717 0.01425 0.013485
718 0.00075 0.0134925
719 0.02425 0.01325
720 0.00675 0.0131825
721 0.00925 0.01309
722 0.02175 0.0128725
723 0.01925 0.01268
724 0.02675 0.0124125
725 0.00325 0.012445
726 0.00925 0.0123525
727 0.01175 0.012235
728 0.08425 0.0113925
729 0.00175 0.011375
730 0.00575 0.0114325
731 0.00825 0.011515
732 0.01675 0.0113475
733 0.00175 0.01133
734 0.01675 0.0111625
735 0.00575 0.01122
736 0.01675 0.0110525
737 0.00325 0.011085
738 0.00075 0.0110925
739 0.01925 0.0109
740 0.05675 0.0103325
741 0.02175 0.010115
742 0.02925 0.0098225
743 0.01925 0.00963
744 0.01175 0.0095125
745 0.02075 0.00972
746 0.00575 0.0097775
747 0.02175 0.00956
748 0.01175 0.0094425
749 0.03425 0.0091
750 0.00325 0.0091325
751 0.04175 0.008715
752 0.00325 0.0087475
753 0.00925 0.008655
754 0.01925 0.0084625
755 0.00675 0.008395
756 0.00175 0.0083775
757 0.04425 0.007935
758 0.01175 0.0078175
759 0.01575 0.007975
760 0.01925 0.0077825
761 0.01675 0.007615
762 0.01575 0.0077725
763 0.02325 0.008005
764 0.00825 0.0080875
765 0.03175 0.00777
766 0.01675 0.0076025
767 0.00325 0.007635
768 0.01925 0.0074425
769 0.00175 0.007425
770 0.00325 0.0074575
771 0.04175 0.00704
772 0.01075 0.0071475
773 0.00825 0.00723
774 0.02425 0.0069875
775 0.01675 0.00682
776 0.00925 0.0067275
777 0.03425 0.006385
778 0.00425 0.0063425
779 0.00425 0.0063
780 0.00675 0.0062325
781 0.00925 0.00614
782 0.01575 0.0062975
783 0.01675 0.00613
784 0.00825 0.0062125
785 0.01825 0.006395
786 0.00075 0.0064025
787 0.02425 0.00616
788 0.00675 0.0060925
789 0.00325 0.006125
790 0.02925 0.0058325
791 0.00825 0.005915
792 0.02925 0.0056225
793 0.01425 0.00548
794 0.02175 0.0052625
795 0.00675 0.005195
796 0.02825 0.0054775
797 0.02425 0.005235
798 0.01825 0.0054175
799 0.01075 0.005525
800 0.00575 0.0055825
801 0.02175 0.005365
802 0.00925 0.0052725
803 0.02575 0.00553
804 0.01675 0.0053625
805 0.00075 0.00537
806 0.00425 0.0053275
807 0.00575 0.005385
808 0.02675 0.0051175
809 0.00825 0.0052
810 0.03175 0.0048825
811 0.00575 0.00494
812 0.00175 0.0049225
813 0.01325 0.005055
814 0.00425 0.0050125
815 0.01175 0.004895
816 0.00425 0.0048525
817 0.03425 0.00451
818 0.02425 0.0042675
819 0.00175 0.00425
820 0.00175 0.0042325
821 0.03575 0.00459
822 0.01425 0.0044475
823 0.02425 0.004205
824 0.02175 0.0039875
825 0.00175 0.00397
826 0.01925 0.0037775
827 0.01825 0.00396
828 0.03675 0.0035925
829 0.00825 0.003675
830 0.00675 0.0036075
831 0.00175 0.00359
832 0.01325 0.0037225
833 0.02175 0.003505
834 0.01675 0.0033375
835 0.00925 0.003245
836 0.01575 0.0034025
837 0.00925 0.00331
838 0.03675 0.0029425
839 0.02325 0.003175
840 0.05675 0.0026075
841 0.04825 0.00309
842 0.01325 0.0032225
843 0.02425 0.00298
844 0.01325 0.0031125
845 0.02325 0.003345
846 0.00425 0.0033025
847 0.01675 0.003135
848 0.01175 0.0030175
849 0.03425 0.002675
850 0.00175 0.0026575
851 0.01575 0.002815
852 0.01325 0.0029475
853 0.01425 0.002805
854 0.02425 0.0025625
855 0.00575 0.00262
856 0.01175 0.0025025
857 0.01825 0.002685
858 0.00325 0.0027175
859 0.01825 0.0029
860 0.00925 0.0028075
861 0.00925 0.002715
862 0.02075 0.0029225
863 0.02425 0.00268
864 0.03425 0.0023375
865 0.00075 0.002345
866 0.00825 0.0024275
867 0.03175 0.00211
868 0.00675 0.0020425
869 0.00325 0.002075
870 0.00175 0.0020575
871 0.01325 0.00219
872 0.01925 0.0019975
873 0.03675 0.00163
874 0.01075 0.0017375
875 0.02425 0.001495
876 0.02675 0.0012275
877 0.01075 0.001335
878 0.01825 0.0015175
