#gd-step, abs-grad_likelihood, theta-error
249 0.12675 0.368195
250 0.14175 0.36805325
251 0.12925 0.367924
252 0.13175 0.36779225
253 0.10425 0.367688
254 0.12425 0.36756375
255 0.11425 0.3674495
256 0.12425 0.36732525
257 0.12425 0.367201
258 0.11675 0.36708425
259 0.12425 0.36696
260 0.11425 0.36684575
261 0.11675 0.366729
262 0.12925 0.36659975
263 0.11175 0.366488
264 0.10675 0.36638125
265 0.12675 0.3662545
266 0.11175 0.36614275
267 0.13425 0.3660085
268 0.15175 0.36585675
269 0.15425 0.3657025
270 0.13175 0.36557075
271 0.13675 0.365434
272 0.11425 0.36531975
273 0.11675 0.365203
274 0.13675 0.36506625
275 0.10675 0.3649595
276 0.09675 0.36486275
277 0.12175 0.364741
278 0.13175 0.36460925
279 0.11925 0.36449
280 0.11925 0.36437075
281 0.07425 0.3642965
282 0.14925 0.36414725
283 0.10925 0.364038
284 0.11175 0.36392625
285 0.08175 0.3638445
286 0.11425 0.36373025
287 0.10925 0.363621
288 0.11175 0.36350925
289 0.14425 0.363365
290 0.09425 0.36327075
291 0.13425 0.3631365
292 0.10675 0.36302975
293 0.12175 0.362908
294 0.12675 0.36278125
295 0.14675 0.3626345
296 0.11925 0.36251525
297 0.11925 0.362396
298 0.12675 0.36226925
299 0.12425 0.362145
300 0.11425 0.36203075
301 0.10175 0.361929
302 0.08925 0.36183975
303 0.10925 0.3617305
304 0.11425 0.36161625
305 0.14175 0.3614745
306 0.10675 0.36136775
307 0.12675 0.361241
308 0.13675 0.36110425
309 0.13175 0.3609725
310 0.12175 0.36085075
311 0.13175 0.360719
312 0.13175 0.36058725
313 0.11425 0.360473
314 0.09675 0.36037625
315 0.12175 0.3602545
316 0.12175 0.36013275
317 0.12675 0.360006
318 0.11175 0.35989425
319 0.13925 0.359755
320 0.12675 0.35962825
321 0.13925 0.359489
322 0.09925 0.35938975
323 0.10675 0.359283
324 0.11675 0.35916625
325 0.11425 0.359052
326 0.12675 0.35892525
327 0.11675 0.3588085
328 0.12675 0.35868175
329 0.11175 0.35857
330 0.11675 0.35845325
331 0.11175 0.3583415
332 0.14675 0.35819475
333 0.13175 0.358063
334 0.12175 0.35794125
335 0.11175 0.3578295
336 0.09675 0.35773275
337 0.10425 0.3576285
338 0.10425 0.35752425
339 0.10675 0.3574175
340 0.13175 0.35728575
341 0.12175 0.357164
342 0.11425 0.35704975
343 0.11925 0.3569305
344 0.10675 0.35682375
345 0.14675 0.356677
346 0.14675 0.35653025
347 0.10675 0.3564235
348 0.15175 0.35627175
349 0.09675 0.356175
350 0.13925 0.35603575
351 0.11675 0.355919
352 0.10925 0.35580975
353 0.09175 0.355718
354 0.12425 0.35559375
355 0.13925 0.3554545
356 0.12675 0.35532775
357 0.15175 0.355176
358 0.12925 0.35504675
359 0.11175 0.354935
360 0.12675 0.35480825
361 0.11925 0.354689
362 0.13425 0.35455475
363 0.13175 0.354423
364 0.13425 0.35428875
365 0.13175 0.354157
366 0.11675 0.35404025
367 0.11175 0.3539285
368 0.11175 0.35381675
369 0.11675 0.3537
370 0.08925 0.35361075
371 0.10925 0.3535015
372 0.12925 0.35337225
373 0.12675 0.3532455
374 0.10925 0.35313625
375 0.13925 0.352997
376 0.12925 0.35286775
377 0.13925 0.3527285
378 0.09675 0.35263175
379 0.13175 0.3525
380 0.12175 0.35237825
381 0.13175 0.3522465
382 0.13675 0.35210975
383 0.13175 0.351978
384 0.13175 0.35184625
385 0.09425 0.351752
386 0.12425 0.35162775
387 0.11925 0.3515085
388 0.15175 0.35135675
389 0.12925 0.3512275
390 0.12425 0.35110325
391 0.11425 0.350989
392 0.11425 0.35087475
393 0.12925 0.3507455
394 0.14175 0.35060375
395 0.13425 0.3504695
396 0.09675 0.35037275
397 0.13425 0.3502385
398 0.13675 0.35010175
399 0.09675 0.350005
400 0.13925 0.34986575
401 0.12425 0.3497415
402 0.09675 0.34964475
403 0.14675 0.349498
404 0.13425 0.34936375
405 0.10175 0.349262
406 0.11425 0.34914775
407 0.13425 0.3490135
408 0.12175 0.34889175
409 0.14675 0.348745
410 0.12175 0.34862325
411 0.12675 0.3484965
412 0.11675 0.34837975
413 0.13175 0.348248
414 0.12425 0.34812375
415 0.10675 0.348017
416 0.10175 0.34791525
417 0.09175 0.3478235
418 0.13175 0.34769175
419 0.08175 0.34761
420 0.12675 0.34748325
421 0.13425 0.347349
422 0.11675 0.34723225
423 0.10675 0.3471255
424 0.13175 0.34699375
425 0.14675 0.346847
426 0.07925 0.34676775
427 0.11925 0.3466485
428 0.10675 0.34654175
429 0.13175 0.34641
430 0.11175 0.34629825
431 0.10925 0.346189
432 0.09925 0.34608975
433 0.09925 0.3459905
434 0.11175 0.34587875
435 0.10675 0.345772
436 0.08925 0.34568275
437 0.07925 0.3456035
438 0.12675 0.34547675
439 0.06925 0.3454075
440 0.12175 0.34528575
441 0.14175 0.345144
442 0.09925 0.34504475
443 0.11675 0.344928
444 0.12175 0.34480625
445 0.12175 0.3446845
446 0.13175 0.34455275
447 0.10925 0.3444435
448 0.12925 0.34431425
449 0.11175 0.3442025
450 0.11175 0.34409075
451 0.11675 0.343974
452 0.12425 0.34384975
453 0.09925 0.3437505
454 0.12425 0.34362625
455 0.13925 0.343487
456 0.14425 0.34334275
457 0.09425 0.3432485
458 0.09425 0.34315425
459 0.15175 0.3430025
460 0.13425 0.34286825
461 0.12175 0.3427465
462 0.11675 0.34262975
463 0.09925 0.3425305
464 0.09925 0.34243125
465 0.12175 0.3423095
466 0.13925 0.34217025
467 0.11175 0.3420585
468 0.10675 0.34195175
469 0.08675 0.341865
470 0.13425 0.34173075
471 0.14175 0.341589
472 0.10175 0.34148725
473 0.12675 0.3413605
474 0.14175 0.34121875
475 0.14675 0.341072
476 0.14425 0.34092775
477 0.11175 0.340816
478 0.09175 0.34072425
479 0.12925 0.340595
480 0.10675 0.34048825
481 0.12675 0.3403615
482 0.12425 0.34023725
483 0.14175 0.3400955
484 0.11425 0.33998125
485 0.11925 0.339862
486 0.11175 0.33975025
487 0.09675 0.3396535
488 0.12925 0.33952425
489 0.09425 0.33943
490 0.13675 0.33929325
491 0.13425 0.339159
492 0.12925 0.33902975
493 0.10675 0.338923
494 0.08925 0.33883375
495 0.12425 0.3387095
496 0.11425 0.33859525
497 0.13675 0.3384585
498 0.10925 0.33834925
499 0.13675 0.3382125
500 0.09925 0.33811325
501 0.10175 0.3380115
502 0.14675 0.33786475
503 0.07675 0.337788
504 0.13175 0.33765625
505 0.11925 0.337537
506 0.10925 0.33742775
507 0.12925 0.3372985
508 0.11925 0.33717925
509 0.12425 0.337055
510 0.12925 0.33692575
511 0.10675 0.336819
512 0.10425 0.33671475
513 0.12675 0.336588
514 0.09175 0.33649625
515 0.10675 0.3363895
516 0.11675 0.33627275
517 0.14925 0.3361235
518 0.10925 0.33601425
519 0.09675 0.3359175
520 0.12675 0.33579075
521 0.12175 0.335669
522 0.12175 0.33554725
523 0.12175 0.3354255
524 0.10925 0.33531625
525 0.09675 0.3352195
526 0.11425 0.33510525
527 0.09425 0.335011
528 0.11925 0.33489175
529 0.08175 0.33481
530 0.11675 0.33469325
531 0.12675 0.3345665
532 0.07925 0.33448725
533 0.07425 0.334413
534 0.10425 0.33430875
535 0.10675 0.334202
536 0.11175 0.33409025
537 0.13175 0.3339585
538 0.11675 0.33384175
539 0.12425 0.3337175
540 0.10675 0.33361075
541 0.09675 0.333514
542 0.09175 0.33342225
543 0.13675 0.3332855
544 0.11675 0.33316875
545 0.12675 0.333042
546 0.13175 0.33291025
547 0.15175 0.3327585
548 0.13675 0.33262175
549 0.10175 0.33252
550 0.10175 0.33241825
551 0.12675 0.3322915
552 0.12175 0.33216975
553 0.11675 0.332053
554 0.11925 0.33193375
555 0.12675 0.331807
556 0.16675 0.33164025
557 0.13675 0.3315035
558 0.11175 0.33139175
559 0.10675 0.331285
560 0.09925 0.33118575
561 0.11925 0.3310665
562 0.11675 0.33094975
563 0.11175 0.330838
564 0.13925 0.33069875
565 0.13675 0.330562
566 0.10925 0.33045275
567 0.10675 0.330346
568 0.11425 0.33023175
569 0.09425 0.3301375
570 0.11675 0.33002075
571 0.10675 0.329914
572 0.13425 0.32977975
573 0.11425 0.3296655
574 0.13175 0.32953375
575 0.11925 0.3294145
576 0.13675 0.32927775
577 0.09675 0.329181
578 0.09675 0.32908425
579 0.13675 0.3289475
580 0.14925 0.32879825
581 0.12175 0.3286765
582 0.11175 0.32856475
583 0.10675 0.328458
584 0.10675 0.32835125
585 0.09925 0.328252
586 0.11675 0.32813525
587 0.13675 0.3279985
588 0.12675 0.32787175
589 0.10175 0.32777
590 0.08425 0.32768575
591 0.10925 0.3275765
592 0.10425 0.32747225
593 0.07675 0.3273955
594 0.11175 0.32728375
595 0.12925 0.3271545
596 0.11425 0.32704025
597 0.11425 0.326926
598 0.08675 0.32683925
