#gd-step, abs-grad_likelihood, theta-error
250 0.117875 0.50045875
251 0.115375 0.499305
252 0.131625 0.49798875
253 0.130375 0.496685
254 0.147875 0.49520625
255 0.164125 0.493565
256 0.131625 0.49224875
257 0.132875 0.49092
258 0.135375 0.48956625
259 0.144125 0.488125
260 0.130375 0.48682125
261 0.100375 0.4858175
262 0.094125 0.48487625
263 0.132875 0.4835475
264 0.144125 0.48210625
265 0.122875 0.4808775
266 0.107875 0.47979875
267 0.121625 0.4785825
268 0.124125 0.47734125
269 0.129125 0.47605
270 0.132875 0.47472125
271 0.145375 0.4732675
272 0.117875 0.47208875
273 0.110375 0.470985
274 0.132875 0.46965625
275 0.100375 0.4686525
276 0.130375 0.46734875
277 0.116625 0.4661825
278 0.107875 0.46510375
279 0.114125 0.4639625
280 0.117875 0.46278375
281 0.125375 0.46153
282 0.151625 0.46001375
283 0.121625 0.4587975
284 0.112875 0.45766875
285 0.127875 0.45639
286 0.146625 0.45492375
287 0.117875 0.453745
288 0.115375 0.45259125
289 0.139125 0.4512
290 0.102875 0.45017125
291 0.120375 0.4489675
292 0.121625 0.44775125
293 0.142875 0.4463225
294 0.117875 0.44514375
295 0.099125 0.4441525
296 0.097875 0.44317375
297 0.090375 0.44227
298 0.114125 0.44112875
299 0.099125 0.4401375
300 0.117875 0.43895875
301 0.125375 0.437705
302 0.124125 0.43646375
303 0.132875 0.435135
304 0.131625 0.43381875
305 0.095375 0.432865
306 0.122875 0.43163625
307 0.104125 0.430595
308 0.092875 0.42966625
309 0.110375 0.4285625
310 0.104125 0.42752125
311 0.155375 0.4259675
312 0.120375 0.42476375
313 0.116625 0.4235975
314 0.131625 0.42228125
315 0.121625 0.421065
316 0.112875 0.41993625
317 0.110375 0.4188325
318 0.126625 0.41756625
319 0.102875 0.4165375
320 0.132875 0.41520875
321 0.132875 0.41388
322 0.129125 0.41258875
323 0.092875 0.41166
324 0.119125 0.41046875
325 0.104125 0.4094275
326 0.094125 0.40848625
327 0.111625 0.40737
328 0.109125 0.40627875
329 0.141625 0.4048625
330 0.099125 0.40387125
331 0.135375 0.4025175
332 0.126625 0.40125125
333 0.132875 0.3999225
334 0.126625 0.39865625
335 0.117875 0.3974775
336 0.132875 0.39614875
337 0.116625 0.3949825
338 0.095375 0.39402875
339 0.101625 0.3930125
340 0.117875 0.39183375
341 0.115375 0.39068
342 0.130375 0.38937625
343 0.117875 0.3881975
344 0.125375 0.38694375
345 0.120375 0.38574
346 0.111625 0.38462375
347 0.141625 0.3832075
348 0.102875 0.38217875
349 0.104125 0.3811375
350 0.080375 0.38033375
351 0.076625 0.3795675
352 0.130375 0.37826375
353 0.102875 0.377235
354 0.101625 0.37621875
355 0.119125 0.3750275
356 0.101625 0.37401125
357 0.117875 0.3728325
358 0.092875 0.37190375
359 0.122875 0.370675
360 0.104125 0.36963375
361 0.120375 0.36843
362 0.090375 0.36752625
363 0.075375 0.3667725
364 0.107875 0.36569375
365 0.112875 0.364565
366 0.116625 0.36339875
367 0.087875 0.36252
368 0.121625 0.36130375
369 0.104125 0.3602625
370 0.087875 0.35938375
371 0.091625 0.3584675
372 0.090375 0.35756375
373 0.110375 0.35646
374 0.104125 0.35541875
375 0.082875 0.35459
376 0.115375 0.35343625
377 0.084125 0.352595
378 0.112875 0.35146625
379 0.101625 0.35045
380 0.100375 0.34944625
381 0.104125 0.348405
382 0.101625 0.34738875
383 0.085375 0.346535
384 0.101625 0.34551875
385 0.104125 0.3444775
386 0.129125 0.34318625
387 0.065375 0.3425325
388 0.081625 0.34171625
389 0.105375 0.3406625
390 0.100375 0.33965875
391 0.071625 0.3389425
392 0.091625 0.33802625
393 0.107875 0.3369475
394 0.099125 0.33595625
395 0.095375 0.3350025
396 0.095375 0.33404875
397 0.097875 0.33307
398 0.114125 0.33192875
399 0.099125 0.3309375
400 0.120375 0.32973375
401 0.081625 0.3289175
402 0.077875 0.32813875
403 0.087875 0.32726
404 0.094125 0.32631875
405 0.107875 0.32524
406 0.086625 0.32437375
407 0.089125 0.3234825
408 0.119125 0.32229125
409 0.097875 0.3213125
410 0.090375 0.32040875
411 0.109125 0.3193175
412 0.110375 0.31821375
413 0.102875 0.317185
414 0.095375 0.31623125
415 0.081625 0.315415
416 0.095375 0.31446125
417 0.099125 0.31347
418 0.085375 0.31261625
419 0.099125 0.311625
420 0.070375 0.31092125
421 0.091625 0.310005
422 0.062875 0.30937625
423 0.110375 0.3082725
424 0.097875 0.30729375
425 0.082875 0.306465
426 0.092875 0.30553625
427 0.097875 0.3045575
428 0.065375 0.30390375
429 0.090375 0.303
430 0.090375 0.30209625
431 0.071625 0.30138
432 0.075375 0.30062625
433 0.071625 0.29991
434 0.079125 0.29911875
435 0.095375 0.298165
436 0.095375 0.29721125
437 0.080375 0.2964075
438 0.092875 0.29547875
439 0.102875 0.29445
440 0.089125 0.29355875
441 0.090375 0.292655
442 0.076625 0.29188875
443 0.069125 0.2911975
444 0.070375 0.29049375
445 0.082875 0.289665
446 0.106625 0.28859875
447 0.100375 0.287595
448 0.084125 0.28675375
449 0.065375 0.2861
450 0.082875 0.28527125
451 0.081625 0.284455
452 0.061625 0.28383875
453 0.081625 0.2830225
454 0.075375 0.28226875
455 0.092875 0.28134
