0.0  -12.3519 -12.3068  0.0 0.0
0.05  -11.5525660007 -11.5176  15.9866799865 15.784
0.1  -10.757212086 -10.6652  15.9070782935 17.048
0.15  -9.96973946202 -9.7464  15.7494524796 18.376
0.2  -9.19389487599 -8.7883  15.5168917207 19.162
0.25  -8.43320139125 -7.8666  15.2138696948 18.434
0.3  -7.69089806557 -6.9447  14.8460665136 18.438
0.35  -6.96989015734 -6.0533  14.4201581646 17.828
0.4  -6.27270980735 -5.2152  13.9436069997 16.762
0.45  -5.60148450227 -4.4149  13.4245061017 16.006
0.5  -4.95790770443 -3.703  12.8715359567 14.238
0.55  -4.3432049169 -3.0209  12.2940557507 13.642
0.6  -3.75809176191 -2.4878  11.7022630997 10.662
0.65  -3.20272931298 -1.9608  11.1072489787 10.54
0.7  -2.67669328865 -1.4964  10.5207204866 9.288
0.75  -2.17898206225 -1.1156  9.95422452801 7.616
0.8  -1.70808800343 -0.8038  9.4178811764 6.236
0.85  -1.2621451718 -0.5222  8.91885663259 5.632
0.9  -0.839146534826 -0.2821  8.45997273944 4.802
0.95  -0.437202055131 -0.1217  8.03888959389 3.208
1.0  -0.0547924132371 0.0718999999999  7.64819283788 3.872
1.05  0.309032622803 0.2036  7.2765007208 2.634
1.1  0.654554571278 0.305  6.91043896951 2.028
1.15  0.981408884136 0.4067  6.53708625715 2.034
1.2  1.28872604275 0.4854  6.14634317226 1.574
1.25  1.57536006056 0.5318  5.73268035613 0.928
1.3  1.84015455866 0.596  5.29588996202 1.284
1.35  2.08219193939 0.6487  4.84074761473 1.054
1.4  2.30098128145 0.6773  4.37578684121 0.572
1.45  2.49656066021 0.7112  3.9115875751 0.678
1.5  2.66951200351 0.7265  3.45902686598 0.306
1.55  2.82090434796 0.7461  3.02784688914 0.392
1.6  2.95219074984 0.759  2.62572803745 0.258
1.65  3.06508515977 0.7744  2.25788819864 0.308
1.7  3.16144082635 0.7935  1.92711333157 0.382
1.75  3.24314449966 0.7946  1.63407346621 0.022
1.8  3.31203349676 0.8069  1.37777994195 0.246
1.85  3.36983705649 0.826  1.15607119479 0.382
1.9  3.41813979995 0.8148  0.966054869053 -0.224
1.95  3.45836331022 0.8234  0.8044702055 0.172
2.0  3.4917613564 0.8215  0.667960923601 -0.038
2.05  3.51942459326 0.8186  0.553264737113 -0.058
2.1  3.54229125876 0.8209  0.457333310114 0.046
2.15  3.56116118892 0.8309  0.377398603118 0.2
2.2  3.57671121692 0.8326  0.311000559966 0.034
2.25  3.58951064979 0.8299  0.255988657494 -0.054
2.3  3.60003600186 0.8404  0.210507041357 0.21
2.35  3.60868452023 0.842  0.172970367459 0.032
2.4  3.61578628516 0.8303  0.142035298622 -0.234
2.45  3.62161483129 0.8382  0.116570922411 0.158
2.5  3.62639633713 0.8373  0.0956301168912 -0.018
2.55  3.63031748804 0.8259  0.0784230183003 -0.228
2.6  3.63353214578 0.8305  0.0642931547537 0.092
2.65  3.6361669672 0.8369  0.0526964282767 0.128
2.7  3.63832611185 0.8431  0.0431828930986 0.124
2.75  3.64009516909 0.837  0.0353811447077 -0.122
2.8  3.64154442246 0.8402  0.0289850675167 0.064
2.85  3.64273155571 0.8531  0.0237426649866 0.258
2.9  3.64370389061 0.8465  0.019446697963 -0.132
2.95  3.64450023429 0.8375  0.0159268736313 -0.18
