#N, bias_h, bias_J, b_std_h/sqrt(M), b_std_J/sqrt(M) 
40  0.011386722383  0.000392702701864  0.0126473803651  0.000555591961054
80  0.00531095805316  0.000264343298148  0.0061482865991  0.00038124344254
120  0.00330789952921  0.000212687656624  0.00382570576286  0.000307234846799
160  0.0026052763373  0.000182426690078  0.00265688552424  0.000264764632963
240  0.00164725591525  0.00014944206617  0.00193669434561  0.000215157500086
320  0.00119364958056  0.000127869822276  0.00180748193225  0.000185170890681
480  0.000880086791698  0.000104337371759  0.00109921134148  0.00015120463364
640  0.00080508023903  8.99216302992e-05  0.000680083134394  0.000131508436904
960  0.000412687789413  7.34063413292e-05  0.000584388338579  0.000107179628607
1280  0.000331692399134  6.3416971279e-05  0.000466444657485  9.27539504049e-05
1920  0.000214075665672  5.18429253325e-05  0.0002592787762  7.56087105097e-05
2560  0.000255932262254  4.4727076996e-05  0.000244651164289  6.55366997771e-05
3840  8.76893783051e-05  3.65256279963e-05  0.000115651128773  5.35275843395e-05
5120  7.55334582979e-05  3.16738993606e-05  0.000116773160078  4.63310553372e-05
7680  2.1924735995e-05  2.58059671021e-05  9.0302280187e-06  3.7748351429e-05
