#alpha, diff_ml, diff_cd, coef
#d= 10 

0.1 0.101198192123 0.548000526605 3.22110162965
0.105 0.545722940754 0.545536066435 3.22110162965
0.11 0.543290356674 0.543081904272 3.22110162965
0.115 0.540869101435 0.540637734064 3.22110162965
0.12 0.538458886018 0.538203256692 3.22110162965
0.125 0.536059426321 0.535778179688 3.22110162965
0.13 0.533670442968 0.533362216953 3.22110162965
0.135 0.531291661137 0.530955088494 3.22110162965
0.14 0.528922810372 0.52855652017 3.22110162965
0.145 0.526563624421 0.526166243451 3.22110162965
0.15 0.524213841074 0.52378399518 3.22110162965
0.155 0.521873201997 0.521409517348 3.22110162965
0.16 0.519541452584 0.519042556882 3.22110162965
0.165 0.517218341807 0.516682865435 3.22110162965
0.17 0.514903622065 0.514330199184 3.22110162965
0.175 0.51259704905 0.511984318639 3.22110162965
0.18 0.510298381606 0.509644988459 3.22110162965
0.185 0.508007381595 0.50731197727 3.22110162965
0.19 0.505723813771 0.504985057493 3.22110162965
0.195 0.503688483796 0.502664005178 3.22110162965
0.2 0.501860416915 0.500348599843 3.22110162965
0.205 0.500035854712 0.498450264853 3.22110162965
0.21 0.49821460431 0.496554493363 3.22110162965
0.215 0.496396473954 0.494660432709 3.22110162965
0.22 0.494581272913 0.492767917839 3.22110162965
0.225 0.492768811391 0.490876784925 3.22110162965
0.23 0.490958900441 0.488986871262 3.22110162965
0.235 0.489151351871 0.487098015179 3.22110162965
0.24 0.487345978162 0.485210055942 3.22110162965
0.245 0.485542592375 0.483322833663 3.22110162965
0.25 0.483741008071 0.48143618921 3.22110162965
0.255 0.481941039218 0.479549964122 3.22110162965
0.26 0.480287908268 0.477664000517 3.22110162965
0.265 0.478797637762 0.475778141008 3.22110162965
0.27 0.477305766235 0.473892228616 3.22110162965
0.275 0.475812118515 0.472006106688 3.22110162965
0.28 0.474316518741 0.470119618811 3.22110162965
0.285 0.472818790292 0.468355417989 3.22110162965
0.29 0.471318755707 0.466726541975 3.22110162965
0.295 0.469816236567 0.465094358345 3.22110162965
0.3 0.468311053421 0.463458731934 3.22110162965
0.305 0.466803025732 0.461819526503 3.22110162965
0.31 0.465291971736 0.460176604675 3.22110162965
0.315 0.463777708554 0.458529827864 3.22110162965
0.32 0.462260051787 0.456879056206 3.22110162965
0.325 0.460738815637 0.455224148485 3.22110162965
0.33 0.459213812766 0.45356496206 3.22110162965
0.335 0.457684854204 0.451901352795 3.22110162965
0.34 0.456151749258 0.450233174978 3.22110162965
0.345 0.454614305414 0.448560281246 3.22110162965
0.35 0.453072328239 0.446882522508 3.22110162965
0.355 0.451525621286 0.445199747861 3.22110162965
0.36 0.44997398599 0.443511804507 3.22110162965
0.365 0.448417221564 0.441818537674 3.22110162965
0.37 0.446855124894 0.440119790522 3.22110162965
0.375 0.445287490432 0.43841540406 3.22110162965
0.38 0.443714110084 0.43670521705 3.22110162965
0.385 0.442134773094 0.434989065922 3.22110162965
0.39 0.440549265933 0.433266784666 3.22110162965
0.395 0.438957372144 0.431538204747 3.22110162965
0.4 0.437358872333 0.429803154976 3.22110162965
0.405 0.435753543883 0.42806146144 3.22110162965
0.41 0.43414454572 0.426312947374 3.22110162965
0.415 0.432684128274 0.424557433033 3.22110162965
0.42 0.43121423351 0.422794735647 3.22110162965
0.425 0.429734620776 0.421024669206 3.22110162965
0.43 0.428245045249 0.419247044394 3.22110162965
0.435 0.426745257773 0.417461668454 3.22110162965
0.44 0.425235004728 0.41566834505 3.22110162965
0.445 0.423714027771 0.413939481225 3.22110162965
0.45 0.422182063803 0.41226753427 3.22110162965
0.455 0.420638844702 0.41058531793 3.22110162965
0.46 0.419084097166 0.408892617855 3.22110162965
0.465 0.417517542519 0.407189214964 3.22110162965
0.47 0.415938896522 0.405474885273 3.22110162965
0.475 0.414347869166 0.403749399727 3.22110162965
0.48 0.412744164464 0.402012524014 3.22110162965
0.485 0.41112748023 0.400264018383 3.22110162965
0.49 0.409497507856 0.398503637443 3.22110162965
0.495 0.407853932075 0.396731129966 3.22110162965
0.5 0.40619643072 0.394946238667 3.22110162965
0.505 0.404524674463 0.393148699991 3.22110162965
0.51 0.402838326561 0.391338243878 3.22110162965
0.515 0.401137042506 0.389514593528 3.22110162965
0.52 0.399420469998 0.387677465142 3.22110162965
0.525 0.397688248282 0.38582656767 3.22110162965
0.53 0.39594000807 0.383961602532 3.22110162965
0.535 0.394175371162 0.382082263334 3.22110162965
0.54 0.392393950111 0.380188235568 3.22110162965
0.545 0.390595347868 0.378279196304 3.22110162965
0.55 0.388779157442 0.37635481386 3.22110162965
