10  0.0971518749704 1.4079830646514893
50  0.0845343377048 2.8875229358673096
100  0.0876670767749 4.317556142807007
200  0.0836515830464 8.868361949920654
400  0.0920352788608 15.404462099075317
800  0.0855861069929 30.60790514945984
