#z=(2cosh(J))**d+(2sinh(J))**d
#(log(z))'= d*cosh(J)sinh(J)(cosh(J)**(d-2)+sinh(J)**(d-2))/(cosh(J)**d+sinh(J)**d)
#J (log z) (log z)' (log z)'' 
0.9999 12.296361523 7.46100778706 -7.41149364103
0.99991 12.2964361327 7.46093367239 -7.41144035032
0.99992 12.2965107417 7.46085955816 -7.4115114046
0.99993 12.2965853499 7.46078544456 -7.41120942394
0.99994 12.2966599574 7.46071133166 -7.41129824178
0.99995 12.2967345642 7.46063721886 -7.41126271464
0.99996 12.2968091702 7.46056310668 -7.4111738968
0.99997 12.2968837754 7.46048899494 -7.41120942394
0.99998 12.2969583799 7.46041488382 -7.41101402468
0.99999 12.2970329837 7.46034077341 -7.41106731539
1.0 12.2971075868 7.46026666327 -7.41096073398
1.00001 12.2971821891 7.46019255367 -7.41096073398
1.00002 12.2972567906 7.46011844459 -7.41085415257
1.00003 12.2973313914 7.46004433605 -7.41085415257
1.00004 12.2974059915 7.45997022769 -7.41081862543
1.00005 12.2974805908 7.45989611994 -7.41072980759
1.00006 12.2975551894 7.45982201309 -7.41071204402
1.00007 12.2976297873 7.4597479065 -7.41060546261
1.00008 12.2977043844 7.45967380018 -7.41065875332
