5  0.209464  0.401547407791 #178.399127007
10  0.142032  0.28969443035 #308.007288218
20  0.095752  0.198061330138 #590.152668953
40  0.062452  0.13265037767 #1180.51920295
100  0.0533528  0.0747196082174 #2891.01029801 
400  0.0417741  0.0371702740667 #11686.2877119
800  0.0400385  0.0277535315365 #22091.6329629
