40  0.00405724370979  9.87482358043e-05  0.00672429516139  0.000191604136941
80  0.00182443918632  6.80867239121e-05  0.00311699330495  0.000131280008576
120  0.00122603215981  5.51333529305e-05  0.00200469154196  0.00010592420885
160  0.00090329369628  4.75654892418e-05  0.00168286059059  9.13449972284e-05
240  0.000613190097048  3.87005835277e-05  0.000977826117558  7.41867456903e-05
320  0.000426156360269  3.3427496298e-05  0.000819920901762  6.40878013124e-05
480  0.000277392016228  2.72509536517e-05  0.000446184939325  5.22373801344e-05
640  0.000228638175911  2.35648716425e-05  0.000373597721387  4.51880824812e-05
960  0.000124881734804  1.92376305716e-05  0.000291850254926  3.68646236222e-05
1280  0.000107676038239  1.66415125701e-05  0.000136380941895  3.18962029167e-05
1920  7.42304082352e-05  1.35871837062e-05  0.000153976020234  2.60367975106e-05
2560  4.60751142152e-05  1.17600528183e-05  0.000119010201309  2.25086252817e-05
3840  3.03180637803e-05  9.59905152891e-06  3.9470328185e-05  1.83867768732e-05
5120  3.85372145392e-05  8.32349145929e-06  6.09003005134e-05  1.59190999547e-05
