#diff_E diff_E1_nin diff_E2_nin
0 -2.14079964135 0.493296922579
1 -2.98766024714 0.393749369987
2 -3.15411121607 0.331399563314
3 -3.08092244823 0.294426183267
4 -2.89563390356 0.27510051744
5 -2.65709315077 0.267573522036
6 -2.39885442888 0.267442342173
7 -2.14116363647 0.271619785679
8 -1.89592605434 0.278093709505
9 -1.66955191426 0.285622646361
10 -1.46486080296 0.293470267792
11 -1.28240613152 0.301214777143
12 -1.12138728152 0.308625032411
13 -0.980261683703 0.315583820603
14 -0.857142383324 0.322041315752
15 -0.750046351448 0.327987039514
16 -0.657041785815 0.333432978018
17 -0.576328910761 0.338403404606
18 -0.506278265884 0.34292874703
19 -0.445442754463 0.34704190858
20 -0.392554241196 0.35077608754
21 -0.346511693278 0.354163516207
22 -0.30636528437 0.35723476579
23 -0.271299166441 0.360018399216
24 -0.240614492784 0.362540836491
25 -0.213713555755 0.364826348064
26 -0.190085451475 0.366897123199
27 -0.16929340922 0.368773380074
28 -0.150963763324 0.370473496826
29 -0.134776458659 0.372014150614
30 -0.120456939498 0.373410456823
31 -0.107769257953 0.374676103739
32 -0.0965102405392 0.375823480061
33 -0.0865045623815 0.376863793919
34 -0.0776005936418 0.37780718288
35 -0.0696668990951 0.378662814928
36 -0.0625892878514 0.37943898071
37 -0.0562683251604 0.380143177496
38 -0.0506172316448 0.380782185418
39 -0.0455601070669 0.381362136555
40 -0.0410304258743 0.381888577463
41 -0.0369697604196 0.382366525711
42 -0.0333266950533 0.382800520965
43 -0.0300559004249 0.383194671123
44 -0.0271173424551 0.383552693973
45 -0.0244756047113 0.383877954788
46 -0.0220993064667 0.384173500268
47 -0.0199606016673 0.38444208917
48 -0.01803474647 0.384686219953
49 -0.0162997250374 0.384908155737
50 -0.0147359249492 0.385109946825
51 -0.0133258549802 0.385293451043
52 -0.0120538991476 0.385460352107
53 -0.0109061018869 0.385612176202
54 -0.00986998001555 0.385750306967
55 -0.00893435780517 0.38587599902
56 -0.00808922204028 0.38599039019
57 -0.00732559440419 0.386094512563
58 -0.00663541892286 0.386189302466
59 -0.00601146252511 0.386275609502
60 -0.00544722705246 0.386354204703
61 -0.00493687128569 0.386425787919
62 -0.0044751417518 0.386490994491
63 -0.00405731124289 0.386550401295
64 -0.00367912412102 0.386604532203
65 -0.00333674760418 0.386653863034
66 -0.00302672833356 0.386698826028
67 -0.00274595361058 0.3867398139
68 -0.00249161676955 0.386777183513
69 -0.00226118621789 0.3868112592
70 -0.00205237773268 0.386842335774
71 -0.0018631296527 0.38687068126
72 -0.00169158064699 0.386896539361
73 -0.00153604977968 0.386920131704
74 -0.0013950186223 0.386941659868
75 -0.00126711519433 0.386961307226
76 -0.00115109953709 0.386979240612
77 -0.00104585074819 0.386995611838
78 -0.00095035532323 0.387010559065
79 -0.000863696668024 0.387024208052
80 -0.00078504565996 0.38703667328
81 -0.00071365215005 0.387048058987
82 -0.000648837309042 0.387058460091
83 -0.00058998673136 0.387067963038
84 -0.000536544219593 0.387076646571
85 -0.000488006180684 0.387084582425
86 -0.000443916572045 0.38709183596
87 -0.00040386234231 0.387098466738
88 -0.000367469317072 0.387104529042
89 -0.000334398485473 0.387110072352
90 -0.000304342647348 0.387115141777
91 -0.000277023385511 0.387119778445
92 -0.000252188330864 0.387124019864
93 -0.000229608691525 0.387127900239
94 -0.000209077019842 0.387131450771
95 -0.000190405194274 0.387134699925
96 -0.000173422594793 0.387137673671
97 -0.000157974453105 0.38714039571
98 -0.000143920360611 0.38714288767
99 -0.000131132918771 0.387145169293
100 -0.000119496518105 0.387147258604
101 -0.000108906233326 0.387149172057
102 -9.92668233966e-05 0.387150924678
103 -9.04918264755e-05 0.38715253019
104 -8.25027404784e-05 0.387154001128
105 -7.52282811881e-05 0.387155348942
106 -6.86037104186e-05 0.387156584093
107 -6.25702273703e-05 0.387157716141
108 -5.70744174658e-05 0.387158753821
109 -5.20677528952e-05 0.387159705117
110 -4.75061400606e-05 0.387160577329
111 -4.33495094613e-05 0.38716137713
112 -3.9561443989e-05 0.38716211062
113 -3.61088419477e-05 0.387162783379
114 -3.29616115393e-05 0.38716340051
115 -3.00923938922e-05 0.38716396668
116 -2.74763118424e-05 0.387164486161
117 -2.50907420531e-05 0.387164962859
118 -2.29151084189e-05 0.38716540035
119 -2.09306944966e-05 0.387165801904
120 -1.91204734351e-05 0.387166170518
121 -1.74689535841e-05 0.387166508932
122 -1.59620384099e-05 0.387166819657
123 -1.45868992831e-05 0.387167104991
124 -1.33318601557e-05 0.387167367039
125 -1.21862926004e-05 0.387167607727
126 -1.11405208079e-05 0.387167828823
127 -1.01857350579e-05 0.387168031943
128 -9.31391329813e-06 0.38716821857
129 -8.51774985574e-06 0.387168390062
130 -7.79059064115e-06 0.387168547663
131 -7.12637435966e-06 0.387168692515
132 -6.51957902309e-06 0.387168825662
133 -5.96517337069e-06 0.387168948064
134 -5.45857273315e-06 0.3871690606
135 -4.9955988912e-06 0.387169164075
136 -4.57244356814e-06 0.38716925923
137 -4.18563530758e-06 0.387169346742
138 -3.8320092838e-06 0.387169427234
139 -3.50867986387e-06 0.387169501276
140 -3.21301571077e-06 0.387169569391
141 -2.94261703603e-06 0.387169632061
142 -2.69529501023e-06 0.387169689726
143 -2.46905293774e-06 0.387169742791
144 -2.26206921993e-06 0.387169791628
145 -2.07268178348e-06 0.387169836579
146 -1.89937391655e-06 0.387169877955
147 -1.740761421e-06 0.387169916046
148 -1.59558084757e-06 0.387169951115
149 -1.46267886699e-06 0.387169983405
150 -1.34100252846e-06 0.387170013138
151 -1.22959037202e-06 0.387170040521
152 -1.12756445985e-06 0.38717006574
153 -1.03412292774e-06 0.387170088969
154 -9.48533400921e-07 0.387170110367
155 -8.70126798819e-07 0.387170130079
156 -7.98291875841e-07 0.387170148241
157 -7.32470103522e-07 0.387170164975
158 -6.72151064177e-07 0.387170180395
159 -6.16868293118e-07 0.387170194605
160 -5.66195396305e-07 0.387170207702
161 -5.1974258777e-07 0.387170219773
162 -4.77153494676e-07 0.3871702309
163 -4.38102254164e-07 0.387170241157
164 -4.02290881002e-07 0.387170250613
165 -3.6944682945e-07 0.387170259332
166 -3.39320764865e-07 0.387170267371
167 -3.11684678573e-07 0.387170274784
168 -2.86329891804e-07 0.387170281621
