# N, mean_cd1_mast,mean_cd1,mean_ml,std_cd1mast/sqrtM,std_cd1/sqrtM,std_ml/sqrtM 
40  0.00262276026537  0.00163013984402  0.0830095621066  0.00530988023575  0.00262276026537  0.00163013984402
80  0.00109668288293  0.00113131027777  0.0981093745685  0.00103671456974  0.00109668288293  0.00113131027777
160  0.000847724238927  0.000799932512907  0.0980504249618  0.000188723509828  0.000847724238927  0.000799932512907
320  0.000457121349588  0.000554453341524  0.0986174343668  0.000138035752991  0.000457121349588  0.000554453341524
640  0.000204075663292  0.000402721260592  0.0991543177572  0.000103407303146  0.000204075663292  0.000402721260592
1280  -0.000388721086929  0.000281865171703  0.0994707138989  7.70200264828e-05  -0.00038872108693  0.000281865171703
1920  -0.000173640440972  0.00023115778435  0.0993874158789  8.03973223816e-05  -0.000173640440972  0.00023115778435
2560  0.000166043697376  0.000197999651683  0.099510464167  7.22492070457e-05  0.000166043697376  0.000197999651683
3840  9.06084338965e-05  0.000161473335279  0.0996130141869  6.33001974931e-05  9.06084338965e-05  0.000161473335279
5120  -0.000167247662093  0.000141043658933  0.0997486012344  4.98264510724e-05  -0.000167247662093  0.000141043658933
7680  1.49663719749e-05  0.000114575958556  0.0998111963898  4.36066823605e-05  1.49663719749e-05  0.000114575958556
