#N, bias_h, b_std_h/sqrt(M), bias_J,b_std_J/sqrt(M),..(cd1-two),..(cd1-single).
80  0.00439612362918  0.000832358583343  0.00606666365679  0.00119522007463  0.00439612362909  0.000832358583343  0.00606666365631  0.00119522007463  0.00439612362909  0.000832358583342  0.00606666365704  0.00119522007463  0.00439612362909  0.000832358583342  0.00606666365704  0.00119522007463  3.108951392  0.0760502846741  0.252558257055  0.0411101744104 #time=1489705947.64
160  0.00329006358737  0.000579242924178  0.00376811842351  0.000835823433317  0.00329006358745  0.000579242924178  0.00376811842261  0.000835823433314  0.00329006358722  0.000579242924179  0.00376811842376  0.000835823433315  0.00329006358722  0.000579242924179  0.00376811842376  0.000835823433315  3.52639269785  0.0601678511045  0.70351286439  0.0324149774097 #time=1489705969.72
320  0.00152918401426  0.000406869448507  0.00182285590772  0.000588635311449  0.00152918401461  0.000406869448507  0.00182285590736  0.00058863531145  0.0015291840141  0.000406869448504  0.00182285590802  0.000588635311447  0.0015291840141  0.000406869448504  0.00182285590802  0.000588635311447  3.34190740982  0.0321339494015  0.81435626709  0.0178917720496 #time=1489705993.39
640  0.000202312577355  0.000286137190529  0.000522099728875  0.000413106833938  0.000202312577933  0.000286137190529  0.000522099727617  0.000413106833935  0.000202312577178  0.000286137190525  0.00052209972923  0.000413106833933  0.000202312577178  0.000286137190525  0.00052209972923  0.000413106833933  3.48358524445  0.024314316857  1.000012876  0.0129677359559 #time=1489706021.65
1280  0.000498253943479  0.000198577059752  0.000812875477178  0.000296833185513  0.000498253944115  0.000198577059752  0.000812875475394  0.000296833185505  0.000498253943305  0.000198577059749  0.000812875477545  0.000296833185503  0.000498253943305  0.000198577059749  0.000812875477545  0.000296833185503  3.66089913465  0.0239728755036  1.11881833748  0.0122511906592 #time=1489706059.9
1920  0.000269969852219  0.000163503729237  0.000159097601694  0.000237620392646  0.000269969852988  0.000163503729237  0.000159097598915  0.000237620392629  0.00026996985206  0.000163503729235  0.000159097602056  0.000237620392634  0.00026996985206  0.000163503729235  0.000159097602056  0.000237620392634  3.86958318423  0.0337984050712  1.22924492467  0.0170110056744 #time=1489706109.52
2560  0.000270784421872  0.000141265150082  0.000306863214381  0.000207420292147  0.000270784422671  0.000141265150082  0.000306863211032  0.000207420292127  0.000270784421761  0.00014126515008  0.000306863214637  0.000207420292134  0.000270784421761  0.00014126515008  0.000306863214638  0.000207420292134  3.8881956859  0.0190892751635  1.24032107637  0.0096770838043 #time=1489706167.11
3840  0.000338073665069  0.000116320536953  0.000271074577102  0.000168362858034  0.000338073665777  0.000116320536953  0.000271074573439  0.000168362858011  0.000338073665012  0.000116320536952  0.000271074577338  0.000168362858022  0.000338073665012  0.000116320536952  0.000271074577338  0.000168362858022  4.08674920955  0.0322414597169  1.3408902191  0.0161792096673 #time=1489706244.49
5120  0.000120615703195  0.000100316776407  0.00023368247758  0.000147412886944  0.00012061570388  0.000100316776407  0.000233682473352  0.000147412886915  0.00012061570318  0.000100316776406  0.000233682477741  0.000147412886933  0.00012061570318  0.000100316776406  0.000233682477741  0.000147412886933  4.04248258211  0.0206969931156  1.32048116205  0.010393354021 #time=1489706339.65
7680  0.000157705857642  8.21668852148e-05  1.46092142249e-05  0.000120579113983  0.000157705858262  8.21668852148e-05  1.4609209975e-05  0.000120579113955  0.000157705857669  8.21668852128e-05  1.46092143937e-05  0.000120579113976  0.000157705857669  8.21668852128e-05  1.46092143937e-05  0.000120579113976  4.09463067054  0.021622182092  1.34717643962  0.0108323364029 #time=1489706477.04
